N,M,depol_probability,del_err,std_del_err,type
5,0,0.0,0.0011241906624002167,0.00012510953426939675,CNOT
5,0,0.005727644230309394,0.0010393968147880872,0.00013658412199822343,CNOT
5,0,0.012078600720769734,0.0010677949146183164,0.00011903193938148199,CNOT
5,0,0.019120701577921152,0.0010374485475647846,0.000156985443457304,CNOT
5,0,0.026929160753603264,0.0010652475811474091,0.00010634868985479677,CNOT
5,0,0.035587377376044206,0.0010434174004574322,0.00015543405068459766,CNOT
5,0,0.04518782650364872,0.0010963558078565271,0.00015548933362237766,CNOT
5,0,0.05583304681528118,0.0010816486046563807,0.00014720987795798974,CNOT
5,0,0.06763673578618123,0.0011055099727947828,0.00015693277607560017,CNOT
5,0,0.0807249640466616,0.0010419953932522597,0.0001554863568761866,CNOT
5,0,0.09523752189368309,0.001059870002149382,0.00016006367261354516,CNOT
5,0,0.11132941233687553,0.0011127306883143746,0.00015164976660921178,CNOT
5,0,0.12917250662565072,0.001075190644114585,0.00013486341061257065,CNOT
5,0,0.14895737993945132,0.0010948079789466136,0.00015412788724943586,CNOT
5,0,0.17089534684743254,0.0010437657324771231,0.00015158350682530875,CNOT
5,0,0.19522071827753298,0.0010692675291710868,0.00014597293387992848,CNOT
5,0,0.22219330410074656,0.0011038455987268726,0.00018781654823124043,CNOT
5,0,0.2521011880597303,0.0010649656606446327,0.00014132268701241434,CNOT
5,0,0.28526380467968454,0.0011002884042462847,0.00014597197972596008,CNOT
5,0,0.3220353510247982,0.001090782798329378,0.0001283503666405366,CNOT
5,0,0.36280856973991177,0.001085087557587333,0.00013750441897551806,CNOT
5,0,0.4080189437825957,0.0010968498249103393,0.000136804292923509,CNOT
5,0,0.45814934764795806,0.0010839751026341692,0.00017006436098736236,CNOT
5,0,0.5137352047641086,0.001090139794611854,0.00014474970021945147,CNOT
5,0,0.5753702061424232,0.0010615914115845314,0.00013727398215967497,CNOT
5,0,0.6437126513613006,0.00111505675693604,0.00014488491927519377,CNOT
5,0,0.7194924796089978,0.0010631326009897344,0.0001079439095204582,CNOT
5,0,0.8035190658813932,0.0010395742686910867,0.00016220342983685145,CNOT
5,0,0.8966898656028465,0.0010955442897657775,0.0001583586363327794,CNOT
5,0,1.0,0.001062133558649222,0.00016021655604535313,CNOT
5,1,0.0,0.0012701229181335514,0.00013413022530009509,CNOT
5,1,0.005727644230309394,0.0012737022935744248,0.00019483673763471014,CNOT
5,1,0.012078600720769734,0.0011401986515722387,0.00012041741896079834,CNOT
5,1,0.019120701577921152,0.0012656060578305572,0.00017500886070534254,CNOT
5,1,0.026929160753603264,0.001275505208846522,0.000169049421600905,CNOT
5,1,0.035587377376044206,0.0013195554300875225,0.0001330468495431068,CNOT
5,1,0.04518782650364872,0.0013954525522088424,0.00015184518158530816,CNOT
5,1,0.05583304681528118,0.0014660352812346695,0.00019593390221102488,CNOT
5,1,0.06763673578618123,0.0016747166564214009,0.0002022817186255228,CNOT
5,1,0.0807249640466616,0.00179049568169059,0.00027065324961012433,CNOT
5,1,0.09523752189368309,0.0019142060931436717,0.0002354146436241556,CNOT
5,1,0.11132941233687553,0.002095098124952671,0.0002576122822973261,CNOT
5,1,0.12917250662565072,0.0022697015457325688,0.0002848767409640777,CNOT
5,1,0.14895737993945132,0.0024891397151130482,0.0003095863600342362,CNOT
5,1,0.17089534684743254,0.0026802230085670223,0.0003917898855130543,CNOT
5,1,0.19522071827753298,0.002877587548313931,0.00036402841427452275,CNOT
5,1,0.22219330410074656,0.0032772837604581446,0.0004768567257194683,CNOT
5,1,0.2521011880597303,0.0035464674918157437,0.00047091691247012413,CNOT
5,1,0.28526380467968454,0.0037946380131442846,0.000494954264018255,CNOT
5,1,0.3220353510247982,0.003965751380011758,0.0004749330964059729,CNOT
5,1,0.36280856973991177,0.00429747622528401,0.0005259453467961292,CNOT
5,1,0.4080189437825957,0.004466862395839999,0.0005583980804907236,CNOT
5,1,0.45814934764795806,0.004735343985157905,0.0006225643618017432,CNOT
5,1,0.5137352047641086,0.004962042742455837,0.0006806008886023514,CNOT
5,1,0.5753702061424232,0.00524691891279885,0.0006768117509324571,CNOT
5,1,0.6437126513613006,0.0053172445321712685,0.0006794857141000763,CNOT
5,1,0.7194924796089978,0.0054530629598162446,0.0006291775304887523,CNOT
5,1,0.8035190658813932,0.005681870604968882,0.0007047091982774054,CNOT
5,1,0.8966898656028465,0.005701622883974833,0.0007618604543502926,CNOT
5,1,1.0,0.005717808585896966,0.0007345236756789992,CNOT
5,2,0.0,0.0012094987950655536,0.00013489576136502796,CNOT
5,2,0.005727644230309394,0.0012596975836743076,0.00017729439295930115,CNOT
5,2,0.012078600720769734,0.0013202271833043992,0.00015086798382726274,CNOT
5,2,0.019120701577921152,0.0013634072291350422,0.00020352844663441494,CNOT
5,2,0.026929160753603264,0.0014796479152555167,0.00017874229311538368,CNOT
5,2,0.035587377376044206,0.001633307060349542,0.0002218570374866797,CNOT
5,2,0.04518782650364872,0.0018537431860970587,0.0002577759100318424,CNOT
5,2,0.05583304681528118,0.001968341632505076,0.0002828056027217792,CNOT
5,2,0.06763673578618123,0.002253195117872546,0.00026845321443903417,CNOT
5,2,0.0807249640466616,0.0024863068806133125,0.00023809115868419218,CNOT
5,2,0.09523752189368309,0.0026403146169584005,0.00036762356232600144,CNOT
5,2,0.11132941233687553,0.0029319638457012847,0.0003808048133291014,CNOT
5,2,0.12917250662565072,0.0031622077561934093,0.00043188034483598495,CNOT
5,2,0.14895737993945132,0.003503411272631874,0.0004572483558401774,CNOT
5,2,0.17089534684743254,0.003753082121347873,0.0004985843842739263,CNOT
5,2,0.19522071827753298,0.0038905809599348107,0.0005449687672762236,CNOT
5,2,0.22219330410074656,0.004259383504422884,0.0005553180765700208,CNOT
5,2,0.2521011880597303,0.0044521369873210485,0.0005381944180302421,CNOT
5,2,0.28526380467968454,0.004706875806637664,0.0005956183806098154,CNOT
5,2,0.3220353510247982,0.004712698338124416,0.0007014079182665849,CNOT
5,2,0.36280856973991177,0.00494765670614423,0.0006230237711313348,CNOT
5,2,0.4080189437825957,0.005101966358752305,0.0007497464533618074,CNOT
5,2,0.45814934764795806,0.005194752248601829,0.000808333116915527,CNOT
5,2,0.5137352047641086,0.005228794181790601,0.0007033361780332135,CNOT
5,2,0.5753702061424232,0.005274344585158353,0.0007266495088094846,CNOT
5,2,0.6437126513613006,0.005362169378001671,0.0006828211855110038,CNOT
5,2,0.7194924796089978,0.005458148241291383,0.0007917703056351885,CNOT
5,2,0.8035190658813932,0.005442215826144912,0.0007315800004302473,CNOT
5,2,0.8966898656028465,0.005493912030784239,0.0006929332333319258,CNOT
5,2,1.0,0.005473212759567866,0.0007093261413411391,CNOT
5,3,0.0,0.001261975757129484,0.0001392033240272622,CNOT
5,3,0.005727644230309394,0.001230457704596237,0.0001513012128931804,CNOT
5,3,0.012078600720769734,0.0013881099229485277,0.00020460517493710344,CNOT
5,3,0.019120701577921152,0.0016018586217632787,0.00021829216387850075,CNOT
5,3,0.026929160753603264,0.0018142377353351094,0.00015823065765074276,CNOT
5,3,0.035587377376044206,0.0020693432935793283,0.00022669874360434268,CNOT
5,3,0.04518782650364872,0.002380651573013039,0.0003336462419397626,CNOT
5,3,0.05583304681528118,0.0026981244568920946,0.0003835270160630756,CNOT
5,3,0.06763673578618123,0.0029936082738371323,0.0003795251483446264,CNOT
5,3,0.0807249640466616,0.0033036177946312974,0.00035451588463587434,CNOT
5,3,0.09523752189368309,0.0034360349986179103,0.0004131028495981099,CNOT
5,3,0.11132941233687553,0.003904238710122811,0.0004437407242828048,CNOT
5,3,0.12917250662565072,0.004159870228753775,0.0004834790622296753,CNOT
5,3,0.14895737993945132,0.004433622797458194,0.0005538206457536046,CNOT
5,3,0.17089534684743254,0.004606504874095405,0.0005431561137573383,CNOT
5,3,0.19522071827753298,0.004839268995134733,0.00048625608580358376,CNOT
5,3,0.22219330410074656,0.005050601378388093,0.0005517704857421389,CNOT
5,3,0.2521011880597303,0.005207928204395557,0.000632142069688983,CNOT
5,3,0.28526380467968454,0.005202151362403177,0.0005657315479962896,CNOT
5,3,0.3220353510247982,0.0053879525768764204,0.0005176474254493285,CNOT
5,3,0.36280856973991177,0.005441647416714118,0.0006344226029457007,CNOT
5,3,0.4080189437825957,0.005452979108340473,0.0005859579178257174,CNOT
5,3,0.45814934764795806,0.00558103476497233,0.0005759119340971467,CNOT
5,3,0.5137352047641086,0.005476949230169928,0.0005665234930860969,CNOT
5,3,0.5753702061424232,0.0055691542915833605,0.0006532887756456228,CNOT
5,3,0.6437126513613006,0.0056913538974957,0.0006787382189884063,CNOT
5,3,0.7194924796089978,0.005526576921512844,0.0005880619722231996,CNOT
5,3,0.8035190658813932,0.00550842528439826,0.0005826712768878562,CNOT
5,3,0.8966898656028465,0.005590904698891241,0.0006025940015211497,CNOT
5,3,1.0,0.0055726387757114495,0.0005401797789546642,CNOT
5,4,0.0,0.0012209422202917365,0.00015216717769042814,CNOT
5,4,0.005727644230309394,0.0012363908484739692,0.00017171958298318503,CNOT
5,4,0.012078600720769734,0.0013410832751735184,0.0001763171562564115,CNOT
5,4,0.019120701577921152,0.0015376110967472649,0.00013507622104110372,CNOT
5,4,0.026929160753603264,0.0016521342211484854,0.000198714216197821,CNOT
5,4,0.035587377376044206,0.0020479744807016097,0.00029145847798368467,CNOT
5,4,0.04518782650364872,0.0022675941412477144,0.00035176043508493196,CNOT
5,4,0.05583304681528118,0.002614898957572762,0.00035515531977750364,CNOT
5,4,0.06763673578618123,0.0028846229945973514,0.00038889450993918114,CNOT
5,4,0.0807249640466616,0.003154586241711664,0.0004412932952159937,CNOT
5,4,0.09523752189368309,0.0033724689282131673,0.0003909110200138329,CNOT
5,4,0.11132941233687553,0.003684937727570873,0.000441589900452589,CNOT
5,4,0.12917250662565072,0.004000594176104671,0.00047854499548890476,CNOT
5,4,0.14895737993945132,0.00426663524012997,0.0006087352253695702,CNOT
5,4,0.17089534684743254,0.0044555418019655985,0.0006029295688685042,CNOT
5,4,0.19522071827753298,0.0046836905998372804,0.0006320663400586111,CNOT
5,4,0.22219330410074656,0.004849235414205154,0.0006058561211891278,CNOT
5,4,0.2521011880597303,0.0048550766202112945,0.0006539790603728499,CNOT
5,4,0.28526380467968454,0.005120409930570027,0.0006338444062498856,CNOT
5,4,0.3220353510247982,0.005238796594521598,0.0006744543546731068,CNOT
5,4,0.36280856973991177,0.005229452497317025,0.000776838543542884,CNOT
5,4,0.4080189437825957,0.005310385553811274,0.0007121623022563173,CNOT
5,4,0.45814934764795806,0.005289036371906474,0.0007708723043927621,CNOT
5,4,0.5137352047641086,0.005383306916194987,0.0007665487605936728,CNOT
5,4,0.5753702061424232,0.005393372259435107,0.000686164839373545,CNOT
5,4,0.6437126513613006,0.005416362091510218,0.000709872185845296,CNOT
5,4,0.7194924796089978,0.005404286456103971,0.0007585979369575586,CNOT
5,4,0.8035190658813932,0.005470602511190258,0.0007341742553376711,CNOT
5,4,0.8966898656028465,0.0053903696298914635,0.0007385663576801554,CNOT
5,4,1.0,0.005437112831942687,0.0007305600657214776,CNOT
5,5,0.0,0.0012020657730387669,0.00011310918196717328,CNOT
5,5,0.005727644230309394,0.0013404149464289377,0.0001587917197288964,CNOT
5,5,0.012078600720769734,0.0014834947831284535,0.00020428904431356776,CNOT
5,5,0.019120701577921152,0.0017917421930372453,0.0002591289443360234,CNOT
5,5,0.026929160753603264,0.0021461313883110824,0.0002799668121469034,CNOT
5,5,0.035587377376044206,0.0025742183915369162,0.0004393689266649769,CNOT
5,5,0.04518782650364872,0.002873239286833737,0.0004516165843300977,CNOT
5,5,0.05583304681528118,0.003261865142278071,0.0004419500627561732,CNOT
5,5,0.06763673578618123,0.0036325015034121815,0.00047904530706604587,CNOT
5,5,0.0807249640466616,0.003924062629283252,0.000565618481074786,CNOT
5,5,0.09523752189368309,0.004256406925193788,0.0006406830186976035,CNOT
5,5,0.11132941233687553,0.004482584171664297,0.0006881579865827039,CNOT
5,5,0.12917250662565072,0.004876984834073924,0.0006752202826842149,CNOT
5,5,0.14895737993945132,0.005006497399862255,0.0005910789936937082,CNOT
5,5,0.17089534684743254,0.00519791001142523,0.0006806712391180884,CNOT
5,5,0.19522071827753298,0.0053943976330661485,0.0007564446018384309,CNOT
5,5,0.22219330410074656,0.0054003435830686656,0.0007594800746399366,CNOT
5,5,0.2521011880597303,0.00546035359076639,0.0007016353520318872,CNOT
5,5,0.28526380467968454,0.005611811696581315,0.0007555002808573334,CNOT
5,5,0.3220353510247982,0.005666786306551746,0.0007071665277523499,CNOT
5,5,0.36280856973991177,0.005660579034470481,0.0007500858804541334,CNOT
5,5,0.4080189437825957,0.005666554185694704,0.0007154414542264079,CNOT
5,5,0.45814934764795806,0.0056662647998895425,0.0007659123804523374,CNOT
